channel_url,title,author,rss_url,confidence_score,api_title,api_author
https://castbox.fm/channel/Call-Her-Daddy-id6303615,Call Her Daddy,Alex Cooper,https://feeds.simplecast.com/mKn_QmLS,1.0,Call Her Daddy,Alex Cooper
https://castbox.fm/channel/The-Moth-id302939,The Moth,The Moth,https://feeds.feedburner.com/themothpodcast,1.0,The Moth,The Moth
https://castbox.fm/channel/anything-goes-with-emma-chamberlain-id4827537,anything goes with emma chamberlain,emma chamberlain,https://feeds.megaphone.fm/stupid-genius,1.0,anything goes with emma chamberlain,emma chamberlain
https://castbox.fm/channel/The-Global-Story-id5661533,The Global Story,BBC World Service,https://podcasts.files.bbci.co.uk/w13xtvsd.rss,1.0,The Global Story,BBC World Service
https://castbox.fm/channel/The-So-What-from-BCG-id4637531,The So What from BCG,Boston Consulting Group BCG,https://feeds.captivate.fm/the-so-what-from-bcg/,1.0,The So What from BCG,Boston Consulting Group BCG
https://castbox.fm/channel/Conan-O’Brien-Needs-A-Friend-id4575513,Conan O’Brien Needs A Friend,Team Coco & Earwolf,https://feeds.simplecast.com/dHoohVNH,1.0,Conan O’Brien Needs A Friend,Team Coco & Earwolf
https://castbox.fm/channel/The-Mel-Robbins-Podcast-id5104992,The Mel Robbins Podcast,Mel Robbins,https://feeds.simplecast.com/UCwaTX1J,1.0,The Mel Robbins Podcast,Mel Robbins
https://castbox.fm/channel/a16z-Podcast-id2374081,a16z Podcast,Andreessen Horowitz,,,,
https://castbox.fm/channel/WTF-with-Marc-Maron-Podcast-id5299212,WTF with Marc Maron Podcast,Marc Maron,https://feeds.acast.com/public/shows/62a222737c02140013aa4c03,1.0,WTF with Marc Maron Podcast,Marc Maron
https://castbox.fm/channel/Something-You-Should-Know-id3054341,Something You Should Know,Mike Carruthers | OmniCast Media,https://feeds.megaphone.fm/WWO9761275037,1.0,Something You Should Know,Mike Carruthers | OmniCast Media
https://castbox.fm/channel/P3-Dokumentär-id1211268,P3 Dokumentär,Sveriges Radio,https://api.sr.se/api/rss/pod/itunes/3966,1.0,P3 Dokumentär,Sveriges Radio
